SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
H,NT,H,H,NA,H,H,H,NT,NT,L,H,NT,NA,N,NT,C,,N,N,N,100,101,3.3,Cat 3
L,H,H,H,H,H,H,H,H,H,H,H,NT,0,N,NT,C,N,N,N,N,600,187,3.4,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,NT,NA,N,NT,C,N,N,N,N,130,225,5.1,Cat 5
H,H,H,H,L,NT,NT,H,NT,H,H,H,NT,NA,N,NT,C,,N,N,N,400,1040,3.6,Cat 4
L,ST.OP,L,H,H,L,L,NT,H,H,H,ST.OP,N,0,N,N,C,,N,N,N,250,375,3,Cat 3
H,L,L,NT,NT,L,L,NT,H,H,I,H,NT,0,N,NT,C,N,N,N,N,160,321,2.4,Cat 3
H,L,H,H,H,L,L,NT,H,H,NT,H,NT,NT,N,NT,C,N,N,N,N,270,160,5.4,Cat 3
L,L,L,L,NA,H,NA,H,H,H,H,NT,NT,NA,N,NT,S,N,N,N,N,60,0,3,Cat 5
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,1,N,NT,S,N,N,N,N,180,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,2,N,NT,S,N,N,N,N,250,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,3,N,NT,S,N,N,N,N,180,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,4,N,NT,S,N,N,N,N,350,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,5,N,NT,S,N,N,N,N,1000,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,6,N,NT,S,N,N,N,N,NT,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,7,N,NT,S,N,N,N,N,35,190,3.2,Cat 3
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,8,N,NT,S,N,N,N,N,45,190,3.2,Cat 3
H,H,H,NA,H,L,L,NA,H,H,H,NT,NT,NT,N,NT,S,N,N,N,N,70,15,3.2,Cat 5
H,H,H,NA,H,L,L,H,H,NA,H,NT,NT,NT,N,NT,S,N,N,N,N,80,100,2.8,Cat 4
H,P,H,L,H,H,H,NT,L,NA,L,NT,NT,0,N,NT,S,N,N,N,N,105,15,3.4,Cat 5
L,H,L,L,H,H,H,NT,H,NA,H,H,N,0,N,N,S,N,N,N,N,350,616,7.4,Cat 4
H,H,H,H,H,L,H,P,NT,H,NT,H,Y,0,N,Y,S,N,N,N,N,900,197,2.4,Cat 4
H,P,L,NA,H,L,L,L,NT,NT,NT,H,N,NT,N,N,S,N,N,N,N,200,263,2.9,Cat 4
