SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
H,H,H,H,L,L,L,H,H,NT,L,H,NT,NA,N,NT,S,N,N,N,N,25,402,2.5,Cat 4
H,H,H,NA,H,H,H,H,NT,H,H,H,N,0,N,N,S,N,N,N,N,30,105,1.96,Cat 5
H,H,H,NA,H,H,H,H,H,NA,NA,H,N,0,N,N,S,N,N,N,N,15,705,6.5,Cat 4
H,H,H,H,H,H,H,H,H,L,H,H,N,0,N,N,S,N,N,N,N,0,4677,0,Cat 4
H,H,H,H,H,H,H,H,H,H,H,H,N,820,N,N,S,N,N,N,N,6,3208,0,Cat 5
H,H,H,H,H,H,H,H,H,L,H,H,NT,0,N,NT,S,N,N,N,N,10,215,2.18,Cat 4
H,H,L,H,H,L,L,H,H,H,H,ST.OP,Y,0,N,Y,S,N,N,N,N,6,72,3.36,Cat 5
H,H,H,H,H,H,H,H,H,L,H,H,N,0,N,N,S,N,N,N,N,10,653,1.2,Cat 4
H,H,H,NA,H,H,H,H,H,H,H,H,Y,0,N,Y,S,Y,N,N,N,120,435,2.7,Cat 4
H,H,H,H,H,NT,NT,H,H,NA,NT,ST.OP,NT,0,N,NT,S,N,N,N,N,15,96,1.5,Cat 5
H,H,H,P,L,I,I,H,NT,NT,I,ST.OP,N,NT,N,N,S,N,N,N,N,20,12,2.2,Cat 5
H,H,H,H,H,NT,NT,H,H,H,NT,H,NT,0,N,NT,S,N,N,N,N,10,81,2.4,Cat 5
H,H,H,L,NA,NT,NT,H,NT,NA,NT,H,NT,NA,N,NT,S,N,N,N,N,14,74,1.1,Cat 5
L,H,L,L,H,H,H,H,H,L,H,ST.OP,N,230,N,N,C,N,N,N,N,5,279,2.2,Cat 4
H,H,H,H,H,L,L,H,H,H,H,P,N,380,N,N,C,N,N,N,N,10,472,3,Cat 5
H,H,H,H,ST.OP,H,H,H,H,H,H,H,Y,0,N,Y,C,N,N,N,N,5,111,1.5,Cat 4
L,L,L,NT,NT,L,L,L,H,H,H,H,Y,N/A,Y,Y,C,N,N,N,N,25,674,1,Cat 1
H,H,H,H,H,L,L,L,H,L,H,H,Y,0,N,Y,C,N,N,N,N,25,674,1.7,Cat 4
L,H,H,NA,L,L,L,H,NT,H,H,ST.OP,N,NA,N,N,C,N,N,N,N,20,187,4,Cat 4
H,H,H,H,H,H,H,H,H,L,H,ST.OP,Y,0,N,Y,C,N,N,N,N,10,325,3,Cat 4
H,H,H,L,H,H,H,L,H,L,H,H,Y,20,N,Y,C,N,N,N,N,25,478,2.5,Cat 4
H,H,H,H,H,H,H,H,NT,H,H,H,Y,700,N,Y,C,N,N,N,N,20,162,3,Cat 4
H,L,L,P,H,H,L,H,H,H,H,NT,N,0,N,N,C,N,N,N,N,55,258,2.5,Cat 3
H,H,H,H,H,H,H,H,H,L,H,H,N,430,N,N,C,N,N,N,N,10,48,1.5,Cat 5
H,H,H,H,H,H,NA,H,H,L,H,H,Y,500,N,Y,C,Y,N,N,N,20,642,1.4,Cat 4
H,H,H,H,H,L,L,H,H,H,H,ST.OP,Y,0,N,Y,C,N,N,N,N,10,159,2.1,Cat 4
H,L,L,H,H,H,H,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,NT,840,0,Cat 4
H,H,H,I,I,I,I,P,I,I,I,NT,NT,NT,N,NT,S,N,N,N,N,0,0,0,Cat 5
H,H,H,H,H,H,H,H,H,L,H,H,N,0,Y,N,S,N,N,N,N,10,1139,6,Cat 3
H,H,H,H,H,H,H,H,H,H,H,ST.OP,N,NA,N,N,S,N,N,N,N,4,703,4,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,12,120,12,Cat 5
H,H,L,H,H,L,L,H,H,L,H,H,N,NA,N,N,S,N,N,N,N,8,262,8,Cat 4
H,H,L,H,H,L,L,H,H,L,H,H,N,0,N,N,S,N,N,N,N,70,60,3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,4,228,4,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,8,246,8,Cat 5
H,H,H,H,H,H,H,L,H,H,H,H,Y,NA,N,Y,S,N,N,N,N,8,480,8,Cat 4
H,H,H,H,H,H,H,H,H,L,H,ST.OP,Y,NA,N,Y,S,N,N,N,N,3,575,3,Cat 3
H,H,L,H,H,H,H,NT,L,H,H,H,N,NA,N,N,S,N,N,N,N,6,208,6,Cat 4
H,H,H,H,NA,H,H,L,NT,H,H,H,Y,450,N,Y,S,N,N,N,N,5,912,5,Cat 4
H,H,H,H,H,H,H,H,H,H,H,H,Y,20,N,Y,S,N,N,N,N,5,44,5,Cat 5
H,H,H,H,H,L,L,H,H,H,H,ST.OP,N,0,N,N,S,N,N,N,N,12,420,12,Cat 4
H,H,H,H,H,L,L,H,NT,NT,L,H,NT,NT,N,NT,S,N,N,N,N,0,60,14,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,0,62,2,Cat 5
H,H,H,L,NA,L,L,H,H,H,H,H,Y,0,N,Y,S,N,N,N,N,15,475,15,Cat 4
H,H,L,H,NA,L,L,H,H,H,H,H,Y,100,N,Y,S,N,N,N,N,0,332,10,Cat 4
H,H,H,I,NA,I,I,NT,NT,NA,I,H,NT,100,N,NT,S,N,N,N,N,10,303,10,Cat 4
H,H,H,H,H,L,L,H,H,L,H,H,NT,0,N,NT,S,N,N,N,N,0,700,5,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,NT,308,0,Cat 5
L,H,L,H,L,L,L,H,H,L,H,ST.OP,NT,0,N,NT,S,N,N,N,N,0,720,3,Cat 3
H,H,H,L,NA,L,L,H,H,H,H,ST.OP,Y,0,N,Y,S,N,N,N,N,0,1680,2,Cat 4
H,H,H,H,NA,H,H,H,NT,H,H,H,N,0,N,N,S,N,N,N,N,3,197,3,Cat 5
H,H,H,H,L,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,3,323,3,Cat 5
H,H,L,L,NA,H,H,H,H,L,H,H,N,1360,N,N,S,N,N,N,N,2,339,2,Cat 4
H,H,P,H,NA,L,L,H,NT,H,H,ST.OP,Y,0,N,Y,S,N,N,N,N,10,433,10,Cat 4
H,H,H,H,H,H,H,H,H,L,H,H,NT,0,N,NT,S,N,N,N,N,0,1000,0,Cat 4
H,H,H,H,H,H,H,H,NT,H,H,H,NT,0,N,NT,S,N,N,N,N,3,237,3,Cat 5
L,L,H,H,H,L,L,H,NT,NT,H,H,Y,0,N,Y,S,N,N,N,N,15,80,15,Cat 5
H,H,H,L,NA,I,I,NT,NA,NA,NA,ST.CL,NT,0,Y,NT,S,N,N,N,N,NT,50,0,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,NT,NA,Y,NT,S,N,N,N,N,5,750,5,Cat 3
H,H,H,L,NA,H,H,L,H,H,L,ST.OP,NT,30,N,NT,S,N,N,N,N,2,384,3,Cat 4
L,H,L,H,H,H,H,L,H,H,H,H,NT,0,N,NT,S,N,N,N,N,6,346,3,Cat 4
H,H,H,L,H,L,NA,H,H,H,H,H,NT,150,N,NT,S,N,N,N,N,3,1042,3,Cat 4
H,H,L,P,L,H,NA,H,H,NT,H,H,NT,550,N,NT,S,N,N,N,N,8,419,8,Cat 4
H,L,H,H,H,L,NA,H,NT,NT,L,H,NT,0,N,NT,S,N,N,N,N,3,253,3,Cat 3
H,L,H,L,H,H,NA,H,H,NA,H,H,NT,600,N,NT,S,N,N,N,N,3,187,3,Cat 3
H,ST.OP,H,H,H,H,NA,H,H,L,H,ST.OP,NT,300,N,NT,S,N,N,N,N,0,196,0,Cat 3
L,H,H,H,H,H,NA,H,H,L,H,ST.OP,NT,0,N,NT,S,N,N,N,N,NT,356,0,Cat 4
H,L,H,H,NA,H,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,0,279,8,Cat 4
H,L,H,L,L,H,H,H,H,H,H,H,N,2020,N,N,S,N,N,N,N,0,449,3,Cat 4
L,L,L,NT,NT,L,L,H,H,L,H,H,N,0,N,N,S,N,N,N,N,2,744,2,Cat 3
NT,L,H,L,L,L,L,H,L,L,L,H,NT,0,N,NT,S,N,N,N,N,5,276,5,Cat 3
H,H,H,H,NA,L,L,H,H,H,H,H,NT,20,N,NT,S,N,N,N,N,6,126,6,Cat 4
H,H,H,H,H,H,H,H,H,L,H,H,NT,720,N,NT,S,N,N,N,N,0,92,0,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,NT,0,Y,NT,S,N,N,N,N,5,797,5,Cat 3
H,H,H,NA,H,H,H,NT,I,NA,NA,ST.CL,NT,100,Y,NT,S,N,N,N,N,NT,388,0,Cat 3
NT,NT,NT,NA,NT,H,NA,NT,I,NA,NT,NA,NT,NA,N,NT,S,N,N,N,N,NT,0,0,Cat 3
H,H,H,H,I,I,I,NT,NT,I,I,H,NT,NA,Y,NT,S,N,N,N,N,NT,388,0,Cat 3
H,H,H,NA,H,L,I,NT,NT,I,I,NA,NT,NA,N,NT,S,N,N,N,N,NT,0,0,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,NT,50,Y,NT,S,N,N,N,N,8,1771,8,Cat 3
H,H,H,H,H,H,H,H,NT,NT,L,H,N,500,N,N,S,N,N,N,N,3,448,3,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,0,312,0,Cat 5
H,H,H,H,H,L,L,H,H,L,H,P,N,0,N,N,S,N,N,N,N,5,400,5,Cat 4
P,H,H,L,NA,NT,NT,L,H,H,H,ST.OP,N,650,N,N,S,N,N,N,N,5,300,5,Cat 4
H,H,L,H,NA,L,L,H,H,L,H,H,N,60,N,N,S,N,N,N,N,6,556,6,Cat 4
H,H,H,L,NA,H,H,H,H,L,H,P,N,200,N,N,S,N,N,N,N,4,99,4,Cat 5
H,H,H,H,L,H,H,H,H,L,L,H,N,0,N,N,S,N,N,N,N,0,1313,0,Cat 4
H,H,H,L,NA,H,H,L,H,L,H,ST.OP,Y,40,N,Y,S,N,N,N,N,2,442,2,Cat 3
H,H,H,L,NA,NT,NT,H,H,H,H,H,N,0,N,N,S,N,N,N,N,10,50,10,Cat 5
H,H,L,H,NA,L,L,H,L,L,L,H,Y,0,N,Y,S,N,N,N,N,0,204,0,Cat 3
H,H,L,L,NA,H,H,H,H,H,H,H,N,140,N,N,S,N,N,N,N,5,196,5,Cat 5
H,H,H,H,H,NT,NT,H,H,H,H,H,N,0,N,N,C,,N,N,N,6,348,6,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,C,N,N,N,N,3,25,3,Cat 5
L,H,H,H,P,H,H,H,H,H,H,H,N,0,N,N,C,,N,N,N,8,29,8,Cat 5
H,P,P,H,NA,H,H,H,NT,NT,L,H,N,0,N,N,C,,N,N,N,6,334,6,Cat 4
H,H,L,L,NA,NT,NT,H,H,H,H,H,N,0,N,N,C,,N,N,N,3,613,3,Cat 4
H,H,H,H,NA,H,H,P,H,H,H,P,Y,0,N,Y,C,,N,N,N,3,52,3,Cat 5
H,L,L,H,NA,H,H,H,H,L,H,H,Y,0,N,Y,C,,N,N,N,3,60,3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,P,N,0,N,N,C,N,N,N,N,3,210,3,Cat 5
H,H,H,H,H,L,L,H,H,L,H,H,Y,NA,N,Y,C,,N,N,N,6,346,6,Cat 4
L,P,H,H,H,H,H,H,H,H,H,H,N,0,N,N,C,,N,N,N,3,759,3,Cat 5
H,H,H,H,NA,L,L,H,NT,H,H,L,N,0,N,N,S,N,N,N,N,3,160,3,Cat 4
H,H,H,H,H,L,L,H,H,L,H,H,NT,0,N,NT,S,N,N,N,N,3,392,3,Cat 4
H,H,H,NA,H,L,L,H,H,H,H,H,Y,0,N,Y,S,N,N,N,N,5,99,5,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,NT,NA,N,NT,S,N,N,N,N,4,40,4,Cat 5
H,L,H,H,H,H,H,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,3,267,3,Cat 4
H,H,H,H,H,L,L,H,NT,H,H,H,N,0,Y,N,S,N,N,N,N,0,551,0,Cat 3
H,H,H,H,NA,L,L,NT,NT,NT,NT,H,Y,200,N,Y,S,N,N,N,N,10,162,10,Cat 3
P,H,H,H,NA,L,L,H,NT,H,H,ST.OP,N,0,N,N,S,N,N,N,N,0,196,0,Cat 4
H,P,P,H,H,L,L,L,H,H,L,H,Y,0,N,Y,S,N,N,N,N,12,18,12,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,3,1050,3,Cat 5
H,H,H,L,L,L,L,NA,NA,NA,H,H,Y,0,N,Y,S,N,N,N,N,5,505,5,Cat 4
H,H,H,H,L,H,H,H,H,H,H,ST.OP,Y,0,N,Y,S,N,N,N,N,2,216,2,Cat 4
H,H,H,H,P,H,H,H,H,L,H,H,N,0,Y,N,S,N,N,N,N,0,459,0,Cat 3
H,H,H,H,H,H,H,H,NT,NT,L,H,N,10,N,N,S,N,N,N,N,3,517,3,Cat 4
H,H,H,L,NA,L,L,L,NT,NT,L,H,Y,140,N,Y,S,N,N,N,N,0,240,0,Cat 3
H,L,L,P,L,H,H,H,NT,H,H,ST.OP,Y,NA,N,Y,S,N,N,N,N,0,60,0,Cat 3
P,L,L,H,H,L,L,H,L,H,H,P,Y,NA,N,Y,S,N,N,N,N,0,800,0,Cat 3
L,H,L,H,H,H,H,H,NT,NT,L,P,NT,0,N,NT,S,N,N,N,N,0,221,0,Cat 4
H,H,H,H,H,H,H,H,H,L,I,H,NT,0,N,NT,S,N,N,N,N,NT,58,0,Cat 5
P,L,H,H,NT,H,H,H,NT,H,I,H,Y,0,N,Y,S,N,N,N,N,8,368,8,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,NT,0,N,NT,S,N,N,N,N,300,56,8.2,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,NT,0,N,NT,S,Y,N,N,N,1200,554,3.7,Cat 4
H,H,H,P,L,L,H,H,NT,H,H,H,N,0,Y,N,S,N,N,N,N,0,36,5.8,Cat 3
H,L,H,H,L,H,H,H,H,L,H,H,N,0,N,N,S,N,N,N,N,800,481,2.9,Cat 3
H,H,H,H,H,H,H,H,NT,NA,NA,H,N,0,N,N,S,N,N,N,N,140,163,4.3,Cat 4
H,L,L,H,H,L,L,L,H,H,H,H,N,20,N,N,S,N,N,N,N,200,108,3.5,Cat 3
L,L,L,H,L,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,75,79,10.3,Cat 5
H,H,H,L,L,L,L,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,350,228,3.1,Cat 3
H,H,H,H,NT,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,280,112,2.8,Cat 5
H,H,H,H,L,H,H,H,H,L,H,H,Y,NA,N,Y,S,N,N,N,N,300,28,5.4,Cat 5
H,P,H,H,H,H,H,NT,H,L,H,H,Y,0,N,Y,S,N,N,N,N,60,132,5.8,Cat 4
H,ST.OP,H,H,L,H,H,L,H,L,H,H,N,NA,N,N,S,N,N,N,N,NT,57,3.9,Cat 5
H,H,H,L,H,H,H,H,NT,NA,H,H,N,0,Y,N,S,N,N,N,N,0,10,12,Cat 3
H,H,H,NA,H,L,L,H,H,H,H,H,N,NA,N,N,S,N,N,N,N,220,36,3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,Y,NA,N,Y,S,N,N,N,N,280,317,4.2,Cat 4
H,H,L,H,H,H,H,H,NT,H,H,H,N,NA,N,N,S,N,N,N,N,550,314,3.8,Cat 5
H,H,H,H,H,H,H,H,NT,NA,NA,H,Y,NT,N,Y,S,N,N,N,N,40,1162,8.4,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,N,70,N,N,S,N,N,N,N,300,568,3.9,Cat 5
H,H,H,H,H,H,H,H,H,H,ST.OP,H,N,0,N,N,S,Y,N,N,N,300,132,3.9,Cat 5
H,H,H,NA,L,H,H,H,H,NA,H,NT,N,0,N,N,S,N,N,N,N,50,18,2,Cat 5
H,NT,H,NA,H,NT,NT,H,H,H,H,H,N,0,N,N,S,N,N,N,N,300,273,4.5,Cat 4
H,H,H,NA,L,L,L,H,H,L,H,H,N,NT,N,N,S,N,N,N,N,1000,119,2.4,Cat 4
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,Y,N,N,N,350,411,3.6,Cat 5
H,H,P,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,350,98,4.8,Cat 5
H,H,H,H,H,L,L,H,H,NA,H,H,N,NA,N,N,S,N,N,N,N,250,318,3.3,Cat 4
H,H,H,H,H,H,I,H,NT,H,L,H,N,0,Y,N,S,N,N,N,N,220,132,5,Cat 3
L,H,H,L,ST.OP,L,NT,H,NT,NT,NT,L,N,120,N,N,S,N,N,N,N,180,40,3.4,Cat 5
H,H,H,H,H,L,I,NT,H,H,H,H,N,0,N,N,S,N,N,N,N,180,87,2.4,Cat 5
H,H,H,H,H,H,I,H,NT,H,L,H,Y,NA,N,Y,S,N,N,N,N,120,17,1.6,Cat 5
H,H,H,NA,L,L,L,H,NT,NT,L,H,N,0,Y,N,S,N,N,N,N,200,51,3.3,Cat 3
H,H,H,NA,L,H,NT,H,NT,H,H,H,N,500,Y,N,S,N,N,N,N,200,321,3,Cat 3
H,H,H,H,H,H,NT,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,160,270,3.4,Cat 3
H,H,H,H,H,H,NT,L,H,H,H,H,N,0,N,N,S,N,N,N,N,250,1485,1.2,Cat 5
H,H,H,H,H,L,NT,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,180,327,3,Cat 3
H,H,H,L,H,L,I,H,NT,NT,H,H,N,NA,N,N,S,N,N,N,N,300,172,2.3,Cat 4
H,H,H,H,H,L,I,H,H,H,H,H,N,0,N,N,S,N,N,N,N,160,119,2.5,Cat 5
NT,ST.OP,H,H,H,H,H,H,NT,H,H,H,Y,NA,N,Y,C,N,N,N,N,150,50,3,Cat 3
H,H,H,L,H,H,H,H,H,H,H,H,Y,NA,N,Y,C,N,N,N,N,150,126,2.8,Cat 4
H,H,P,H,L,L,L,H,NT,NT,ST.OP,ST.OP,N,NT,N,N,C,N,N,N,N,250,397,5.1,Cat 4
H,H,H,H,H,H,H,H,NT,NA,L,H,N,0,N,N,C,,N,N,N,350,196,2.6,Cat 4
H,H,H,H,H,H,H,L,NT,NT,L,ST.OP,N,0,N,N,C,,N,N,N,1300,152,5.1,Cat 4
H,H,L,H,H,H,H,L,NT,NT,L,H,N,0,N,N,C,,N,N,N,350,172,1.8,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,260,252,3.5,Cat 5
H,H,H,L,L,H,H,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,400,210,3.9,Cat 3
H,H,H,H,H,H,H,L,H,H,H,H,N,0,Y,N,S,N,N,N,N,300,302,2.8,Cat 3
H,H,H,H,H,L,L,H,H,H,H,H,N,0,N,N,S,N,N,N,N,150,63,2.9,Cat 5
NT,NT,NT,NA,NA,H,H,H,H,H,H,H,Y,0,N,Y,S,N,N,N,N,320,77,4,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,N,N,N,200,240,4.2,Cat 5
H,H,H,H,H,L,L,H,H,H,H,H,N,0,Y,N,S,N,N,N,N,430,99,2.4,Cat 3
H,H,H,H,H,H,H,H,H,H,L,ST.OP,N,0,N,N,S,N,N,N,Y,10,29,1,Cat 4
H,ST.OP,L,H,H,L,L,H,H,H,H,ST.OP,N,100,N,N,S,N,N,N,Y,5,80,5,Cat 3
H,H,H,H,H,H,H,H,H,H,L,H,N,0,Y,N,S,N,N,N,Y,10,330,2,Cat 3
H,H,H,H,H,H,H,H,NT,NT,L,H,N,1300,Y,N,S,N,Y,N,Y,10,147,3,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,Y,N,Y,10,81,2,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,10,Y,N,S,N,Y,N,Y,15,0,12,Cat 3
H,H,H,H,H,H,H,H,NT,NT,L,H,N,0,Y,N,S,N,Y,N,Y,30,569,5,Cat 3
H,H,H,H,H,H,H,H,NT,H,H,H,NT,0,N,NT,S,N,Y,N,N,3,2500,3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,NT,NA,,,S,N,Y,N,N,10,550,2,Cat 5
H,ST.OP,H,H,NA,H,H,L,H,NA,H,ST.OP,Y,NA,N,Y,S,N,N,N,Y,0,38,2,Cat 3
L,H,H,H,NT,NT,NT,H,H,NA,NT,P,Y,NA,N,Y,S,N,N,N,Y,2,111,3,Cat 4
H,ST.OP,H,L,L,H,H,H,L,NA,L,H,NT,NT,N,NT,S,N,N,N,Y,NT,3,2,Cat 3
H,H,H,NA,H,NT,NT,H,H,NA,NA,H,N,1000,N,N,S,N,N,N,Y,NT,2,3,Cat 4
H,H,H,H,H,L,L,H,L,L,H,H,Y,NT,N,Y,S,N,N,N,Y,NT,203,2,Cat 4
H,H,H,H,H,H,H,NT,NT,H,H,H,N,0,Y,N,S,N,N,N,Y,3,106,2,Cat 3
H,H,H,H,H,H,H,H,H,H,H,ST.OP,N,0,N,N,S,N,N,N,N,5,2371,12,Cat 4
H,P,H,NA,L,H,NA,NT,NT,NA,NA,H,NT,0,N,NT,S,N,N,N,Y,35,275,2.77,Cat 4
L,H,H,NA,H,H,NA,NT,NT,NA,H,NA,NT,NA,,,S,N,N,N,N,NT,0,0,Cat 5
H,H,H,NA,H,H,NA,L,H,NA,NA,H,N,NA,N,N,S,N,N,N,Y,600,61,1.5,Cat 4
L,P,L,NA,P,H,NA,L,H,NA,H,NA,N,NT,N,N,S,N,N,N,Y,NT,0,0,Cat 3
H,H,H,H,H,H,NA,H,H,H,H,H,Y,0,N,Y,S,N,N,N,Y,35,533,2.81,Cat 4
H,ST.OP,H,P,H,H,NT,H,H,H,H,NT,N,NT,N,N,S,N,N,N,Y,6000,44,3,Cat 3
H,ST.OP,P,NA,H,ST.OP,ST.CL,L,I,I,I,ST.OP,NT,0,N,NT,S,N,N,N,Y,75,334,2,Cat 3
H,H,H,NA,ST.OP,NA,NA,NA,NA,NA,H,NA,NT,NT,N,NT,S,N,N,N,Y,NT,0,0,Cat 3
L,H,H,NA,L,H,H,NT,NT,NA,NA,H,Y,0,N,Y,S,N,N,N,Y,30,47,2.02,Cat 4
P,H,H,NA,L,H,H,NT,NT,NA,H,NA,Y,NT,N,Y,S,N,N,N,Y,NT,0,0,Cat 3
H,H,P,NA,L,I,NA,ST.OP,H,H,I,ST.OP,NT,0,N,NT,S,N,N,N,Y,40,94,3.9,Cat 4
P,L,L,NA,L,I,NA,H,H,L,I,H,NT,0,N,NT,S,N,N,N,Y,20,27,2.018,Cat 3
H,H,H,L,L,H,H,H,H,ST.OP,H,H,N,NA,N,N,S,N,N,N,Y,20,189,2,Cat 4
P,H,H,H,L,NT,NT,H,H,NA,H,ST.OP,Y,NT,Y,Y,S,N,N,N,Y,NT,342,4.2,Cat 1
H,L,L,NA,L,NT,NT,P,L,L,NT,P,NT,NA,N,NT,S,N,N,N,Y,20,38,3,Cat 3
H,L,H,NA,L,NT,NT,H,L,H,NT,NA,NT,NT,N,NT,S,N,N,N,Y,20,0,0,Cat 3
H,L,H,L,L,NT,NT,NT,P,L,NT,H,NT,NA,N,NT,S,N,N,N,Y,20,73,4,Cat 3
L,L,L,NA,ST.OP,I,I,H,NT,H,I,H,NT,NA,N,NT,S,N,N,N,Y,10,107,3.1,Cat 3
P,L,L,NA,ST.CL,H,H,H,H,H,H,NA,NT,0,N,NT,S,N,N,N,Y,NT,0,0,Cat 3
P,H,H,NA,H,I,I,L,NT,NA,NA,H,NT,NA,N,NT,S,N,N,N,Y,10,78,3,Cat 4
L,L,L,NA,ST.OP,I,I,L,NT,NA,I,NA,NT,NA,N,NT,S,N,N,N,Y,NT,0,0,Cat 3
L,ST.OP,L,NA,I,I,I,NT,I,NA,I,H,NT,0,Y,NT,S,N,N,N,Y,NT,133,3.09,Cat 1
NT,NT,NT,NA,NT,NT,NT,NT,NT,NA,NA,NA,NT,NT,N,NT,S,N,N,N,Y,NT,0,0,Cat 3
L,L,L,I,I,NT,NT,NT,NT,NT,NT,H,NT,NA,N,NT,S,N,N,N,Y,15,145,1.49,Cat 3
L,L,L,H,H,I,I,H,NT,NT,I,H,Y,NT,N,Y,S,N,N,N,Y,15,208,4.99,Cat 3
H,H,H,H,H,H,H,H,H,H,H,H,NT,NA,N,NT,S,N,N,N,Y,30,391,2.8,Cat 4
H,H,H,H,H,H,H,H,H,H,L,ST.OP,N,200,N,N,S,N,N,N,Y,40,443,1.71,Cat 4
H,H,H,L,ST.OP,H,H,H,H,L,H,H,N,NT,N,N,S,N,N,N,Y,40,208,2.78,Cat 4
H,H,H,H,H,H,H,P,H,L,H,H,N,NA,N,N,S,N,N,N,Y,30,808,1.63,Cat 4
H,H,H,NA,H,H,H,H,H,H,I,H,NT,NT,N,NT,S,N,N,N,Y,NT,683,5.27,Cat 4
H,H,L,NA,L,H,H,L,H,L,H,H,Y,NT,N,Y,S,N,N,N,Y,10,405,3.13,Cat 3
I,I,I,NA,NA,H,H,L,H,L,I,NA,NT,NT,N,NT,S,N,N,N,Y,NT,405,3.13,Cat 3
P,H,P,H,L,H,H,L,H,L,I,P,N,0,N,N,S,N,N,N,Y,8000,323,3,Cat 4
H,H,H,L,ST.OP,H,L,H,H,H,H,H,Y,NT,N,Y,S,N,N,N,Y,30,25,3,Cat 4
H,P,H,L,L,ST.OP,NT,H,H,H,H,H,Y,NT,N,Y,S,N,N,N,Y,45,470,5.5,Cat 4
H,L,L,H,H,L,L,H,I,I,I,ST.OP,Y,NA,Y,Y,S,N,N,N,Y,25,575,3.47,Cat 1
H,H,H,P,P,H,H,H,NT,H,H,H,Y,550,Y,Y,S,N,N,N,N,350,240,4.06,Cat 2
H,H,H,H,H,NT,NT,H,I,NA,NT,H,N,0,N,N,S,N,N,N,N,250,200,6.06,Cat 4
H,H,H,H,H,H,H,NT,NT,NT,NT,H,N,0,Y,N,S,N,N,N,N,140,4480,7.06,Cat 3
H,H,H,H,H,H,H,H,H,H,H,ST.OP,N,0,Y,N,S,N,N,N,N,NT,700,8.06,Cat 2
H,H,H,H,H,H,H,H,H,H,L,H,NT,NA,N,NT,S,N,N,N,N,NT,0,9.06,Cat 5
NT,L,NT,L,NT,NT,NT,NT,NT,NT,NT,ST.OP,NT,NT,Y,NT,S,N,N,N,N,NT,360,3,Cat 1
H,H,H,H,H,NT,NT,H,H,H,H,L,N,430,N,N,C,N,N,,N,1000,179,2.3,Cat 4
NT,H,H,H,H,L,L,H,H,H,H,L,N,0,N,N,C,N,N,,N,1300,187,2.1,Cat 4
H,H,H,H,H,L,NT,H,H,H,H,ST.OP,N,NT,N,N,,,,,N,600,155,1.6,Cat 4
H,L,H,NA,L,H,NA,H,H,H,H,P,N,0,N,N,,Y,,,N,250,372,2.3,Cat 3
NA,NA,H,NA,H,L,L,NA,H,NA,L,NA,Y,NT,N,Y,,,,,N,75,0,,Cat 5
H,H,H,NA,H,H,H,H,NT,NA,NA,P,N,0,Y,N,,N,N,,N,0,85,7,Cat 3
H,H,H,L,L,H,H,H,H,H,H,L,N,NA,N,N,,N,N,,N,200,186,5.9,Cat 4
